"scientificName"
"Perdita apacheorum Timberlake, 1960"
"Perdita butleri Timberlake, 1960"
"Perdita dilecta Timberlake, 1960"
"Perdita elegans Timberlake, 1960"
"Perdita numerata numerata"
"Perdita pectidis Cockerell, 1896"
"Perdita rhodura Cockerell, 1897"
"Perdita xanthochroa Timberlake, 1960"
"Xeroheriades micheneri Griswold, 1986"
"Perdita ashmeadi Cockerell, 1899"
"Perdita compta Timberlake, 1964"
"Perdita cracens Timberlake, 1980"
"Perdita genalis genalis"
"Perdita luciae luciae"
"Perdita ovaliceps Timberlake, 1964"
"Perdita panocheana Timberlake, 1964"
"Perdita semicaerulea Cockerell, 1896"
"Perdita sexnotata Timberlake, 1964"
"Perdita sidae Cockerell, 1897"
"Perdita stathamae stathamae"
"Perdita stenopyga Timberlake, 1964"
"Perdita vittata Cockerell, 1923"
"Perdita wilmattae Cockerell, 1906"
"Perdita acaciae Timberlake, 1962"
"Perdita clypeata clypeata"
"Perdita holoxantha Timberlake, 1962"
"Perdita lateralis Timberlake, 1962"
"Perdita rhois rhois"
"Perdita snellingi Timberlake, 1962"
"Perdita vicina Timberlake, 1962"
"Perdita xerophila Timberlake, 1962"
"Perdita dicksoni Timberlake, 1958"
"Perdita dubia Cockerell, 1896"
"Perdita bispinata Timberlake, 1956"
"Perdita meconis Griswold, 1993"
"Perdita quadrisignata Timberlake, 1956"
"Perdita vandykei Timberlake, 1956"
"Perdita cephalotes (Cresson, 1878)"
"Perdita pallida Timberlake, 1954"
"Perdita vespertina Griswold & Miller, 2010"
"Protodufourea parca Timberlake, 1955"
"Pseudopanurgus fraterculus (Cockerell, 1896)"
"Pseudopanurgus pectiphilus (Cockerell, 1913)"
"Stelis occidentalis"
"Stelis anthocopae"
"Stelis cockerelli (Hicks, 1933)"
"Stelis joanae"
"Stelis palmarum Timberlake, 1941"
"Stelis alta"
"Stelis linsleyi Timberlake, 1941"
"Stelis interrupta Cresson, 1897"
"Trachusa autumnalis (Snelling, 1966)"
"Lasioglossum ruficorne (Crawford, 1907)"
"Lasioglossum obscurior (Friese, 1925)"
"Xylocopa tabaniformis tabaniformis"
"Lasioglossum arizonense (Crawford, 1907)"
"Osmia melanocephala Morawitz, 1875"
"Osmia trifoliama Sandhouse, 1939"
"Osmia sanrafaelae Parker, 1985"
"Dufourea stagei Bohart, 1980"
"Perdita bicuspidariae Timberlake, 1962"
"Trachusa cordaticeps (Michener, 1949)"
"Centris adani Cockerell, 1951"
"Lasioglossum obnubilum (Sandhouse, 1924)"
"Andrena mariae Robertson, 1891"
"Andrena subnigripes Viereck, 1917"
"Andrena longifovea LaBerge, 1977"
"Atoposmia segregata (Michener, 1954)"
"Bombus impatiens Cresson, 1863"
"Calliopsis andreniformis Smith, 1853"
"Calliopsis hesperia hesperia"
"Triepeolus sarothrinus (Cockerell, 1929)"
"Holcopasites insoletus (Linsley, 1942)"
"Lasioglossum paraforbesii McGinley, 1986"
"Neolarra cockerelli (Crawford, 1916)"
"Nomada edwardsii edwardsii"
"Nomada obliquella Fowler, 1902"
"Nomada morrisoni Cresson, 1878"
"Nomada verecunda Cresson, 1879"
"Perdita pyrifera Cockerell, 1925"
"Perdita cruciferarum Timberlake, 1968"
"Perdita propinqua Timberlake, 1964"
"Perdita distans Timberlake, 1962"
"Stelis rudbeckiarum Cockerell, 1904"
"Stelis callura Cockerell, 1925"
"Tetraloniella perconcinna (Cockerell, 1951)"
"Nomada argentea (Schwarz, 1966)"
"Perdita rhondae Griswold, 2010"
"Centris aethyctera Snelling, 1974"
"Anthophorula varleyi (Timberlake, 1947)"
"Andrena hilaris Smith, 1853"
"Bombus auricomus (Robertson, 1903)"
"Coelioxys hunteri Crawford, 1914"
"Colletes compactus Cresson, 1868"
"Neolarra alba Cockerell, 1916"
"Dianthidium platyurum platyurum"
"Dioxys pacifica Cockerell, 1916"
"Triepeolus eldoradensis (Cockerell, 1910)"
"Triepeolus eldredi Cockerell, 1907"
"Triepeolus grindeliae Cockerell, 1907"
"Dufourea desertorum Timberlake, 1939"
"Dufourea macswaini Bohart, 1969"
"Hoplitis basingeri (Timberlake & Michener, 1950)"
"Lasioglossum albuquerquense (Michener, 1937)"
"Nomada subrubi Swenk, 1915"
"Nomada illinoensis Robertson, 1900"
"Nomada fontis Cockerell, 1910"
"Oreopasites arizonica Linsley, 1941"
"Osmia dakotensis Michener, 1937"
"Osmia sladeni Sandhouse, 1925"
"Perdita mentzeliae Cockerell, 1896"
"Stelis pavonina (Cockerell, 1908)"
"Nomada orbitalis Pérez, 1913"
"Osmia cyaneonitens Cockerell, 1906"
"Perdita namatophila Timberlake, 1954"
"Perdita dimidiata Timberlake, 1962"
"Centris flavofasciata Friese, 1900"
"Andrena angustior (Kirby, 1802)"
"Andrena apacheorum Cockerell, 1897"
"Chelostoma tetramerum Michener, 1942"
"Neolarra orbiculata Shanks, 1978"
"Colletes birkmanni Swenk, 1906"
"Triepeolus occidentalis (Cresson, 1878)"
"Triepeolus vandykei Cockerell & Sandhouse, 1924"
"Triepeolus segregatus (Cockerell, 1900)"
"Habropoda vierecki (Cockerell, 1909)"
"Hoplitis shoshone (Parker, 1976)"
"Hylaeus mesillae mesillae"
"Megachile impartita Mitchell, 1934"
"Megachile semilaurita Mitchell, 1927"
"Melissodes perlusa Cockerell, 1925"
"Nomada timberlakei Broemeling, 1989"
"Perdita cuspidata Timberlake, 1964"
"Perdita clypeata Timberlake, 1962"
"Perdita aemula Timberlake, 1958"
"Protandrena duplonotata (Timberlake, 1955)"
"Stelis anthidioides Timberlake, 1941"
"Svastra sabinensis laterufa (Cockerell, 1934)"
"Perdita lucidella Timberlake, 1964"
"Nomada parva Robertson, 1900"
"Colletes daleae Cockerell, 1897"
"Heriades variolosus (Cresson, 1872)"
"Hoplitis nigrella (Michener, 1954)"
"Macrotera haplura (Cockerell, 1922)"
"Megachile soledadensis Cockerell, 1900"
"Nomada taraxacella Cockerell, 1903"
"Nomada valida Smith, 1854"
"Perdita tortifoliae tortifoliae"
"Perdita claypolei claypolei"
"Perdita celadona Griswold & Miller, 2010"
"Protandrena heteromorpha (Cockerell, 1896)"
"Protodufourea wasbaueri Timberlake, 1955"
"Stelis imperialis"
"Agapanthinus callophilus (Cockerell, 1923)"
"Nomada micheneri Schwarz & Gusenleitner, 2004"
"Dianthidium concinnum (Cresson, 1872)"
"Perdita ensenadensis Timberlake, 1960"
"Ashmeadiella sculleni Michener, 1939"
"Ashmeadiella stenognatha Michener, 1939"
"Andrena berkeleyi Viereck & Cockerell, 1914"
"Andrena dissimulans Timberlake, 1951"
"Andrena wellesleyana Robertson, 1897"
"Calliopsis scitula lawae (Michener, 1937)"
"Calliopsis fulgida Shinn, 1967"
"Dianthidium dubium mccrackenae Timberlake, 1943"
"Holcopasites calliopsidis (Linsley, 1943)"
"Hoplitis reducta (Timberlake & Michener, 1950)"
"Hylaeus maritimus Bridwell, 1910"
"Neolarra pruinosa Ashmead, 1890"
"Nomada rhodomelas Cockerell, 1903"
"Nomada ashmeadi Cockerell, 1903"
"Oreopasites hurdi Rozen, 1992"
"Perdita paroselae Timberlake, 1960"
"Perdita fulvescens Timberlake, 1980"
"Perdita pygidialis Timberlake, 1980"
"Perdita tessellata Timberlake, 1964"
"Perdita wilmattae wilmattae"
"Perdita arizonica Timberlake, 1956"
"Perdita aureovittata aureovittata"
"Perdita micheneri Timberlake, 1956"
"Sphecodosoma beameri (Bohart, 1965)"
"Svastra compta (Cresson, 1879)"
"Andrena angelesia Timberlake, 1951"
"Osmia nigricollis Warncke, 1992"
"Partamona cupira (Smith, 1863)"
"Stelis shoshone"
"Micralictoides grossus Bohart & Griswold, 1987"
"Nomada parata Cresson, 1878"
"Colletes nitescens Timberlake, 1951"
"Dianthidium heterulkei fraternum Timberlake, 1943"
"Triepeolus fortis Cockerell, 1921"
"Dufourea torchioi Bohart, 1980"
"Lasioglossum jubatum (Vachal, 1904)"
"Melissodes gelida LaBerge, 1961"
"Nomada depressa Cresson, 1863"
"Osmia pulsatillae Cockerell, 1907"
"Osmia pumila Cresson, 1864"
"Perdita dolichocephala Swenk & Cockerell, 1907"
"Triepeolus cressonii (Robertson, 1897)"
"Exomalopsis similis arida Cockerell, 1923"
"Andrena imitatrix Cresson, 1872"
"Andrena rehni Viereck, 1907"
"Anthophora pernicis Timberlake, 1951"
"Anthophorula gutierreziae (Timberlake, 1947)"
"Ashmeadiella lutzi (Cockerell, 1930)"
"Andrena subrubicunda LaBerge, 1986"
"Andrena linsleyana Thorp, 1987"
"Atoposmia phaceliarum (Cockerell, 1935)"
"Bombus cockerelli Franklin, 1913"
"Calliopsis zonalis sierrae (Rozen, 1958)"
"Colletes xerophilus Timberlake, 1951"
"Dianthidium curvatum xerophilum Cockerell, 1907"
"Dianthidium desertorum Timberlake, 1943"
"Triepeolus diversipes Cockerell, 1924"
"Triepeolus loomisorum Rozen, 1989"
"Dufourea snellingi Bohart, 1980"
"Holcopasites pulchellus (Cresson, 1878)"
"Hoplitis similis (Friese, 1909)"
"Lasioglossum sequoiae (Michener, 1936)"
"Macrotera opacella (Timberlake, 1956)"
"Nomada frieseana Cockerell, 1904"
"Nomada corvallisensis Cockerell, 1903"
"Nomada klamathensis Fox, 1926"
"Nomada perbella (Viereck, 1905)"
"Nomada interruptella Fowler, 1902"
"Panurginus cressoniellus Cockerell, 1898"
"Perdita mandibularis Timberlake, 1954"
"Perdita stottleri Cockerell, 1896"
"Sphecodes patruelis Cockerell, 1913"
"Stelis nigriventris Timberlake, 1941"
"Andrena sieverti Cockerell, 1906"
"Lasioglossum aspilurum (Cockerell, 1925)"
"Andrena caliginosa Viereck, 1917"
"Andrena murietae Ribble, 1968"
"Andrena robertsonii Dalla Torre, 1896"
"Colletes solitarius Timberlake, 1951"
"Eucera fulvitarsis fulvitarsis"
"Lithurgus planifrons Friese, 1908"
"Nomada adducta Cresson, 1878"
"Perdita munita Timberlake, 1964"
"Stelis foederalis Smith, 1854"
"Colletes paniscus Viereck, 1903"
"Dufourea oenotherae Timberlake, 1939"
"Hylaeus megalotis (Swenk & Cockerell, 1910)"
"Lasioglossum perdifficile (Cockerell, 1895)"
"Megachile inyoensis Mitchell, 1942"
"Megachile bruneri Mitchell, 1934"
"Melissodes trinodis Robertson, 1901"
"Nomada garciana Cockerell, 1907"
"Nomada belfragei Cresson, 1878"
"Perdita eremophila Timberlake, 1964"
"Perdita imberbis Timberlake, 1968"
"Perdita salicis salicis"
"Perdita mentzeliarum Cockerell, 1897"
"Stelis robertsoni Timberlake, 1941"
"Anthidium sonorense Cockerell, 1923"
"Exomalopsis mellipes Cresson, 1879"
"Halictus parallelus Say, 1837"
"Melissodes bimaculata bimaculata"
"Osmia mixta Michener, 1936"
"Perdita frontalis Timberlake, 1968"
"Bombus affinis Cresson, 1864"
"Colletes laticinctus Timberlake, 1951"
"Colletes linsleyi Timberlake, 1951"
"Dianthidium platyurum mohavense Timberlake, 1943"
"Dufourea moldenkei Bohart, 1980"
"Heriades crucifer Cockerell, 1897"
"Hoplitis zuni (Parker, 1977)"
"Nomada rubi Swenk, 1915"
"Nomada fragariae Mitchell, 1962"
"Osmia cerasi Cockerell, 1897"
"Osmia potentillae Michener, 1936"
"Perdita varleyi Timberlake, 1962"
"Calliopsis filiorum (Rozen, 1963)"
"Micralictoides mojavensis Bohart, 1942"
"Triepeolus martini (Cockerell, 1900)"
"Megachile oslari Mitchell, 1934"
"Nomada oregonica Cockerell, 1903"
"Nomada argentata Herrich-Schäffer, 1839"
"Andrena eremophila Thorp & LaBerge, 2005"
"Perdita coalingensis Timberlake, 1956"
"Perdita pulliventris Timberlake, 1968"
"Perdita torchioi Timberlake, 1980"
"Paratetrapedia nigriceps (Friese, 1899)"
"Andrena coconina LaBerge, 1980"
"Andrena macswaini Linsley, 1960"
"Andrena argemonis Cockerell, 1896"
"Dufourea dilatipes Bohart, 1948"
"Dufourea tinsleyi (Cockerell, 1898)"
"Andrena arenaria Morawitz, 1876"
"Coelioxys salinaria Cockerell, 1925"
"Megachile hilata Mitchell, 1934"
"Perdita pallidiventris Timberlake, 1962"
"Perdita mucronata Timberlake, 1956"
"Perdita obtusa Timberlake, 1968"
"Andrena bruneri Viereck & Cockerell, 1914"
"Andrena nigerrima Casad, 1896"
"Andrena chromotricha Cockerell, 1899"
"Andrena algida Smith, 1853"
"Megachile xylocopoides Smith, 1853"
"Melissodes sphaeralceae Cockerell, 1896"
"Nomada coquilletti Cockerell, 1903"
"Perdita ordinata Timberlake, 1962"
"Colletes eulophi Robertson, 1891"
"Colletes fulgidus Swenk, 1904"
"Habropoda semifulva (Cockerell, 1905)"
"Lasioglossum giffardi (Michener, 1937)"
"Nomada ovata (Robertson, 1903)"
"Perdita bradleyana Timberlake, 1954"
"Triepeolus texanus (Cresson, 1878)"
"Xylocopa guatemalensis Cockerell, 1912"
"Ashmeadiella barberi Michener, 1939"
"Habropoda excellens (Timberlake, 1962)"
"Melissodes desponsa Smith, 1854"
"Nomada dentariae (Robertson, 1903)"
"Perdita rehni rehni"
"Andrena verbesinae Viereck & Cockerell, 1914"
"Colletes xerophilus xerophilus"
"Colletes scopiventer Swenk, 1908"
"Perdita nevadiana Timberlake, 1980"
"Stelis trichopyga Timberlake, 1941"
"Nomada longicornis Friese, 1920"
"Nomada bohartorum Moalif, 1988"
"Megachile melanogaster Eversmann, 1852"
"Andrena enceliae Cockerell, 1927"
"Triepeolus pimarum Cockerell, 1904"
"Nomada luteopicta Cockerell, 1905"
"Epeolus basili Onuferko, 2018"
"Melissodes robustior"
"Melissodes ecuadoria"
"Melissodes agilis"
"Melissodes thelypodii stulta"
"Melissodes pallidisignata"
"Melissodes lupina"
"Melissodes lustra"
"Melissodes nigracauda"
"Melissodes paroselae"
"Agapostemon angelicus"
"Andrena caerulea"
"Melissodes bimatris"
"Andrena barbilabris"
"Xeromelecta californica"
"Megachile rotundata"
"Megachile fidelis"
"Megachile angelarum"
"Lithurgopsis apicalis"
"Bombus nevadensis"
"Anthidiellum notatum robertsoni"
"Colletes slevini"
"Andrena prunorum"
"Andrena cerasifolii"
"Bombus melanopygus"
"Bombus bifarius"
"Bombus vandykei"
"Bombus caliginosus"
"Bombus vosnesenskii"
"Bombus flavifrons"
"Bombus mixtus"
"Bombus sitkensis"
"Bombus centralis"
"Bombus californicus"
"Osmia lignaria propinqua"
"Andrena miserabilis"
"Andrena w-scripta"
"Megachile gentilis"
"Andrena crataegi"
"Andrena buckelli"
"Andrena ribblei"
"Andrena prolixa"
"Andrena saccata"
"Andrena thaspii"
"Andrena scurra"
"Andrena surda"
"Andrena winnemuccana"
"Andrena vierecki"
"Andrena washingtoni"
"Andrena chapmanae"
"Andrena cercocarpi"
"Andrena gordoni"
"Andrena hemileuca"
"Andrena plana"
"Andrena piperi"
"Andrena obscuripostica"
"Anthophora urbana"
"Megachile coquilletti"
"Megachile lippiae"
"Megachile perihirta"
"Ancylandrena atoposoma"
"Melissodes communis alopex"
"Peponapis pruinosa"
"Lasioglossum cooleyi"
"Lasioglossum foxii"
"Andrena nivalis"
"Andrena knuthiana"
"Andrena mackieae"
"Andrena macoupinensis"
"Andrena merriami"
"Coelioxys sodalis"
"Coelioxys rufitarsis"
"Coelioxys apacheorum"
"Coelioxys edita"
"Coelioxys menthae"
"Anthidium atrifrons"
"Xylocopa tabaniformis androleuca"
"Bombus griseocollis"
"Bombus fervidus"
"Andrena milwaukeensis"
"Bombus occidentalis"
"Hoplitis viridimicans"
"Hoplitis albifrons maura"
"Lasioglossum sisymbrii"
"Megachile latimanus"
"Bombus citrinus"
"Lasioglossum pavonotum"
"Coelioxys alternata"
"Xylocopa tabaniformis orpifex"
"Melissodes lutulenta"
"Melissodes tepaneca"
"Lasioglossum ovaliceps"
"Melissodes microsticta"
"Melissodes grindeliae"
"Melissodes dagosa"
"Melissodes melanura"
"Melissodes tribas"
"Agapostemon femoratus"
"Melissodes utahensis"
"Melissodes hurdi"
