"scientificName"
"Perdita punctosignata flava Timberlake, 1964"
"Anthidium placitum Cresson, 1879"
"Perdita gracilis Timberlake, 1964"
"Calliopsis anthidia lutea (Rozen, 1958)"
"Coelioxys grindeliae Cockerell, 1900"
"Stelis perpulchra Crawford, 1916"
"Perdita leucosticta Timberlake, 1964"
"Megachile newberryae Cockerell, 1900"
"Andrena barbilabris (Kirby, 1802)"
"Megachile gemula Cresson, 1878"
"Perdita zonalis bernardina Timberlake, 1958"
"Perdita nasuta nasuta"
"Calliopsis pectidis Shinn, 1965"
"Megachile yumensis Mitchell, 1944"
"Perdita polytropica polytropica"
"Perdita micheneri micheneri"
"Hoplitis grinnelli (Cockerell, 1910)"
"Megachile pugnata Say, 1837"
"Calliopsis coloradensis Cresson, 1878"
"Chelostoma minutum Crawford, 1916"
"Andrena nivalis Smith, 1853"
"Diadasia lutzi Cockerell, 1924"
"Dufourea gilia Bohart, 1947"
"Osmia glauca (Fowler, 1899)"
"Lasioglossum nevadense (Crawford, 1907)"
"Perdita euphorbiae Timberlake, 1954"
"Perdita dubia parilis Timberlake, 1958"
"Perdita obliqua Timberlake, 1928"
"Perdita exclamans Cockerell, 1895"
"Melissodes microsticta Cockerell, 1905"
"Andrena andrenoides (Cresson, 1878)"
"Perdita bridwelli Timberlake, 1960"
"Perdita proxima Timberlake, 1958"
"Diadasia diminuta (Cresson, 1879)"
"Melissodes vernalis LaBerge, 1961"
"Exomalopsis hurdi Timberlake, 1980"
"Hoplitis howardi (Cockerell, 1910)"
"Megachile pseudonigra Mitchell, 1927"
"Hesperapis regularis (Cresson, 1878)"
"Colletes clypeonitens Swenk, 1906"
"Colletes gypsicolens Cockerell, 1897"
"Colletes larreae Timberlake, 1951"
"Colletes lutzi pinorum Timberlake, 1951"
"Colletes louisae Cockerell, 1897"
"Colletes californicus Provancher, 1895"
"Colletes tectiventris Timberlake, 1951"
"Hylaeus episcopalis (Cockerell, 1896)"
"Ancylandrena atoposoma (Cockerell, 1934)"
"Hylaeus hurdi Snelling, 1966"
"Hylaeus calvus (Metz, 1911)"
"Andrena saccata Viereck, 1904"
"Andrena schuhi LaBerge, 1980"
"Andrena palpalis Timberlake, 1951"
"Andrena frigida Smith, 1853"
"Andrena hemileuca Viereck, 1904"
"Ashmeadiella sonora Michener, 1939"
"Lithurgus echinocacti Cockerell, 1898"
"Bombus borealis Kirby, 1837"
"Panurginus nigrellus Crawford, 1926"
"Coelioxys gilensis Cockerell, 1896"
"Andrena wilmattae Cockerell, 1906"
"Dieunomia nevadensis arizonensis (Cockerell, 1899)"
"Perdita zonalis zonalis"
"Hoplitis bullifacies Michener, 1947"
"Melissodes velutina (Cockerell, 1916)"
"Anthophora pacifica Cresson, 1879"
"Hesperapis ilicifoliae (Cockerell, 1910)"
"Anthidiellum ehrhorni (Cockerell, 1900)"
"Perdita difficilis Timberlake, 1964"
"Nomia howardi Crawford, 1911"
"Coelioxys novomexicana Cockerell, 1909"
"Lasioglossum hyalinum (Crawford, 1907)"
"Lasioglossum timberlakei McGinley, 1986"
"Megachile inermis Provancher, 1888"
"Agapostemon angelicus Cockerell, 1924"
"Perdita rhois reducta Cockerell, 1901"
"Neolarra californica Michener, 1939"
"Perdita californica (Cresson, 1878)"
"Andrena striatifrons Cockerell, 1897"
"Lasioglossum colatum (Vachal, 1904)"
"Perdita cowaniae Timberlake, 1956"
"Dufourea calochorti sculleni (Cockerell, 1937)"
"Melissodes appressa LaBerge, 1961"
"Perdita rhois Cockerell, 1901"
"Perdita turgiceps Timberlake, 1954"
"Hesperapis rufipes (Ashmead, 1899)"
"Perdita lingualis Cockerell, 1896"
"Dufourea nemophilae (Michener, 1937)"
"Perdita cleomellae Cockerell, 1925"
"Atoposmia enceliae (Cockerell, 1935)"
"Hoplitis albifrons (Kirby, 1837)"
"Perdita dasylirii Cockerell, 1907"
"Andrena raveni Linsley & MacSwain, 1961"
"Perdita larreae Cockerell, 1896"
"Ashmeadiella bucconis (Say, 1837)"
"Perdita zebrata zebrata"
"Andrena pertristis carliniformis Viereck & Cockerell, 1914"
"Osmia nifoata Cockerell, 1909"
"Perdita atrata Timberlake, 1964"
"Osmia juxta Cresson, 1864"
"Perdita exilis Timberlake, 1962"
"Perdita distropica Timberlake, 1956"
"Anthophorula palmarum (Timberlake, 1947)"
"Dieunomia nevadensis nevadensis"
"Anthidium palmarum Cockerell, 1904"
"Calliopsis xenus (Rozen, 1958)"
"Anthophora phaceliae Brooks, 1988"
"Ashmeadiella breviceps Michener, 1939"
"Melissodes communis alopex Cockerell, 1928"
"Melissodes melanura (Cockerell, 1916)"
"Perdita albonotata Timberlake, 1954"
"Xylocopa tabaniformis Smith, 1854"
"Melissodes dagosa Cockerell, 1909"
"Panurginus ineptus Cockerell, 1922"
"Melissodes moorei Cockerell, 1926"
"Stelis calliphorina (Cockerell, 1911)"
"Hoplitis semirubra (Cockerell, 1898)"
"Megachile melanophaea Smith, 1853"
"Perdita jucunda Timberlake, 1962"
"Panurginus melanocephalus (Cockerell, 1926)"
"Ashmeadiella australis (Cockerell, 1902)"
"Andrena vanduzeei Linsley, 1938"
"Agapostemon melliventris Cresson, 1874"
"Anthidium edwardsii Cresson, 1878"
"Perdita melanochlora Cockerell, 1922"
"Megachile umatillensis (Mitchell, 1927)"
"Hoplitis colei (Crawford, 1916)"
"Andrena wheeleri Graenicher, 1904"
"Andrena knuthiana Cockerell, 1901"
"Colletes angelicus Cockerell, 1905"
"Perdita eucnides Timberlake, 1964"
"Diadasia vallicola Timberlake, 1940"
"Dufourea spinifera (Viereck, 1904)"
