"","scientificName","WKT","institutionCode","basisOfRecord","occurrenceID","catalogNumber","eventDate","year","month","day","georeferenceVerificationStatus","kingdom","phylum","class","order","family","scientific_name","subgenus","accepted_name","decimalLatitude","decimalLongitude"
"91","Megachile fucata Mitchell, 1934","POINT (-115.65 34.983333)","KU","PRESERVED_SPECIMEN","19cc7ba0-1ed6-11e3-bfac-90b11c41863e","510693","1995-05-09T00:00:00",1995,5,9,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Megachile fucata",NA,"Megachile fucata",34.983333,-115.65
"92","Perdita atrata Timberlake, 1964","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","1a671e52-1ed6-11e3-bfac-90b11c41863e","410974","1937-05-25T00:00:00",1937,5,25,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita atrata",NA,"Perdita atrata",36.29278,-117.1764
"93","Perdita colei Timberlake, 1962","POINT (-115.3153 35.52167)","KU","PRESERVED_SPECIMEN","1b0cdcd7-1ed6-11e3-bfac-90b11c41863e","411192","1935-09-14T00:00:00",1935,9,14,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita colei",NA,"Perdita colei",35.52167,-115.3153
"94","Melissodes personatella Cockerell, 1901","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","1cb1190a-1ed6-11e3-bfac-90b11c41863e","489029","",NA,NA,NA,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melissodes personatella",NA,"Melissodes personatella",36.29278,-117.1764
"95","Ashmeadiella gillettei Titus, 1904","POINT (-117.8476 36.46677)","KU","PRESERVED_SPECIMEN","1d02a071-1ed6-11e3-bfac-90b11c41863e","460199","1937-05-22T00:00:00",1937,5,22,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella gillettei",NA,"Ashmeadiella gillettei",36.46677,-117.8476
"96","Melissodes semilupina Cockerell, 1905","POINT (-117.3333 34.59889)","KU","PRESERVED_SPECIMEN","1e458d89-1ed6-11e3-bfac-90b11c41863e","489789","1934-10-28T00:00:00",1934,10,28,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melissodes semilupina",NA,"Melissodes semilupina",34.59889,-117.3333
"97","Melissodes vernalis LaBerge, 1961","POINT (-117.0944 36.11833)","KU","PRESERVED_SPECIMEN","1f1041b3-1ed6-11e3-bfac-90b11c41863e","500363","1937-05-30T00:00:00",1937,5,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melissodes vernalis",NA,"Melissodes vernalis",36.11833,-117.0944
"98","Andrena nemophilae Ribble, 1968","POINT (-118.1056 34.53917)","KU","PRESERVED_SPECIMEN","33b99077-1ed6-11e3-bfac-90b11c41863e","374724","1938-04-15T00:00:00",1938,4,15,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena nemophilae",NA,"Andrena nemophilae",34.53917,-118.1056
"99","Atoposmia anthodyta (Michener, 1943)","POINT (-118.074 36.60414)","KU","PRESERVED_SPECIMEN","34b9b554-1ed6-11e3-bfac-90b11c41863e","460771","1937-06-11T00:00:00",1937,6,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Atoposmia anthodyta",NA,"Atoposmia anthodyta",36.60414,-118.074
"100","Hoplitis bidenticauda (Timberlake & Michener, 1950)","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","3670e07f-1ed6-11e3-bfac-90b11c41863e","462759","1937-06-01T00:00:00",1937,6,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Hoplitis bidenticauda",NA,"Hoplitis bidenticauda",36.29278,-117.1764
"101","Osmia latisulcata Michener, 1936","POINT (-117.3944 35.74722)","KU","PRESERVED_SPECIMEN","36bd57e8-1ed6-11e3-bfac-90b11c41863e","497476","1937-05-22T00:00:00",1937,5,22,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia latisulcata",NA,"Osmia latisulcata",35.74722,-117.3944
"102","Nomada suavis Cresson, 1878","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","3943c0ee-1ed6-11e3-bfac-90b11c41863e","508065","1937-06-05T00:00:00",1937,6,5,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Nomada suavis",NA,"Nomada suavis",36.60611,-118.0619
"103","Anthophora salazariae Timberlake, 1937","POINT (-117.0944 36.11833)","KU","PRESERVED_SPECIMEN","3c7f5437-1ed6-11e3-bfac-90b11c41863e","430527","1937-05-29T00:00:00",1937,5,29,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora salazariae",NA,"Anthophora salazariae",36.11833,-117.0944
"104","Agapostemon texanus Cresson, 1872","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","3f66c1de-1ed6-11e3-bfac-90b11c41863e","426633","1937-06-19T00:00:00",1937,6,19,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Agapostemon texanus",NA,"Agapostemon texanus",36.60611,-118.0619
"105","Perdita xerophila fuscicornis Timberlake, 1962","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","3ff6851c-1ed6-11e3-bfac-90b11c41863e","217533","1937-06-01T00:00:00",1937,6,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita xerophila",NA,"Perdita xerophila",36.60611,-118.0619
"106","Andrena angustitarsata Viereck, 1904","POINT (-117.45 34.95)","KU","PRESERVED_SPECIMEN","42877d48-1ed6-11e3-bfac-90b11c41863e","979492","1936-05-16T00:00:00",1936,5,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena angustitarsata",NA,"Andrena angustitarsata",34.95,-117.45
"107","Perdita leucostoma Timberlake, 1956","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","44a682e8-1ed6-11e3-bfac-90b11c41863e","1009206","1941-06-01T00:00:00",1941,6,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita leucostoma",NA,"Perdita leucostoma",36.60611,-118.0619
"108","Chelostoma marginatum Michener, 1938","POINT (-117.3944 35.74722)","KU","PRESERVED_SPECIMEN","4bb178f6-1ed6-11e3-bfac-90b11c41863e","1144412","1937-05-22T00:00:00",1937,5,22,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Chelostoma marginatum",NA,"Chelostoma marginatum",35.74722,-117.3944
"109","Diadasia vallicola Timberlake, 1940","POINT (-116.9208 34.41784)","KU","PRESERVED_SPECIMEN","9122514a-5126-482d-9c3a-f3da6ce9bd38","29539","1937-05-27T00:00:00",1937,5,27,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Diadasia vallicola",NA,"Diadasia vallicola",34.41784,-116.9208
